"Time Series Data"
"DBKEY","STATION","TYPE","UNITS","FQ","STAT","STRATA","OPNUM","RCDR","AGENCY","START","END","CNTY","LAT","LONG","SEC","TWP","RNG","ALTERNATE ID"
"91475","S30_C","FLOW","cfs","DA","MEAN","0","","DRV","WMD","1968","2025","BRO","255724","802552","3","52","39","S30-C-Q",
 
"Station","DBKEY","Daily Date","Data Value","Qualifier","Revision Date"
"S30_C","91475","07-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","08-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","09-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","10-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","11-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","12-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","13-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","14-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","15-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","16-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","17-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","18-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","19-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","20-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","21-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","22-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","23-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","24-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","25-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","26-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","27-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","28-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","29-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","30-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","01-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","02-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","03-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","04-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","05-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","06-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","07-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","08-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","09-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","10-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","11-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","12-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","13-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","14-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","15-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","16-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","17-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","18-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","19-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","20-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","21-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","22-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","23-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","24-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","25-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","26-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","27-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","28-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","29-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","30-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","31-OCT-1968","0","","09-FEB-2018"
"S30_C","91475","01-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","02-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","03-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","04-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","05-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","06-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","07-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","08-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","09-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","10-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","11-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","12-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","13-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","14-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","15-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","16-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","17-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","18-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","19-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","20-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","21-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","22-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","23-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","24-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","25-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","26-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","27-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","28-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","29-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","30-NOV-1968","0","","09-FEB-2018"
"S30_C","91475","01-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","02-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","03-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","04-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","05-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","06-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","07-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","08-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","09-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","10-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","11-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","12-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","13-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","14-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","15-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","16-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","17-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","18-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","19-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","20-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","21-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","22-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","23-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","24-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","25-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","26-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","27-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","28-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","29-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","30-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","31-DEC-1968","0","","09-FEB-2018"
"S30_C","91475","01-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","02-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","03-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","04-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","05-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","06-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","07-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","08-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","09-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","10-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","11-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","12-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","13-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","14-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","15-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","16-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","17-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","18-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","19-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","20-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","21-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","22-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","23-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","24-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","25-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","26-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","27-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","28-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","29-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","30-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","31-JAN-1969","0","","09-FEB-2018"
"S30_C","91475","01-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","02-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","03-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","04-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","05-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","06-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","07-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","08-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","09-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","10-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","11-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","12-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","13-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","14-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","15-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","16-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","17-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","18-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","19-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","20-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","21-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","22-FEB-1969","0","","09-FEB-2018"
