Station,records,Earliest Date,Latest Date,Mean,Standard Deviation,Min,Max
S29_S,14535,1985-05-31,2025-03-16,260.699,368.5323,-1546.49,3616.2
S30_C,20742,1968-06-03,2025-03-17,7.150248,39.76045,0,915.39
